Temperature Wrist,Temperature Forehead,Temperature Body
33.42999,36.63,36.4
33.41,36.64999,36.4
32.79,37.14999,36.4
32.85,37.14999,36.4
33.96999,36.23001,36
33.18999,36.87,36
33.11001,36.95001,36
33.05001,36.98999,36
33.17001,36.87,36
33.36999,36.70999,36
33.49001,36.54999,36
33.73,36.31,36
33.95,35.67001,36
33.86999,36.09,36
33.95,35.64999,36
33.02999,37.01001,36
33.68999,36.32999,36.2
33.57,36.48999,36.2
33.17001,36.87,36.2
33.61001,36.41,36.2
33.68999,36.32999,36.2
33.67001,36.35001,36.2
33.67001,36.35001,35.9
33.57,36.48999,35.9
33.68999,36.32999,35.9
33.41,36.64999,35.9
33.58999,36.47,35.9
33.61001,36.41,35.9
33.46999,36.57001,36.1
33.58999,36.47,36.1
33.36999,36.70999,36.1
33.42999,36.63,36.1
33.58999,36.47,36.1
33.51,36.53,36.1
33.39001,36.64999,36
33.49001,36.54999,36
33.52999,36.53,36
33.23,36.82999,36
33.42999,36.63,36
33.42999,36.63,36
33.46999,36.57001,36.3
33.33001,36.70999,36.3
33.39001,36.64999,36.3
33.46999,36.57001,36.3
33.33001,36.70999,36.3
33.36999,36.70999,36.3
33.41,36.63,36
33.17001,36.91,36
33.30999,36.76999,36
33.36999,36.70999,36
33.36999,36.70999,36
33.41,36.64999,36
33.17001,36.91,36.5
33.23,36.85001,36.5
33.27001,36.79001,36.5
33.35,36.70999,36.5
33.24999,36.82999,36.5
33.24999,36.82999,36.5
33.27001,36.79001,36
33.30999,36.76999,36
33.17001,36.87,36
33.11001,36.95001,36
32.91,37.10999,36
33.24999,36.82999,36
33.30999,36.76999,36
32.85,37.13,36
33.01,37.07001,36
33.29,36.79001,36
33.55001,36.48999,36
33.49001,36.54999,36
33.83001,36.13,36.1
32.57,37.20999,36.1
33.73,36.26999,36.1
33.73,36.26999,36.1
33.67001,36.35001,36.1
32.79,37.14999,36.1
33.33001,36.73001,36.5
33.01,37.07001,36.5
33.13,36.92999,36.5
32.91,37.10999,36.5
32.89001,37.10999,36.5
32.85,37.13,36.5
32.17001,36.35001,36.3
33.91,35.97,36.3
33.92999,35.82999,36.3
33.68999,36.32999,36.3
33.52999,36.53,36.3
33.45,36.63,36.3
33.45,36.60999,36.1
33.39001,36.67001,36.1
33.42999,36.63,36.1
33.29,36.79001,36.1
33.23,36.82999,36.1
33.67001,36.35001,36.1
33.96999,36.37,36.2
33.11001,36.98999,36.2
33.96999,36.37,36.2
33.55001,36.48999,36.2
33.80999,36.13,36.2
33.85,36.10999,36.2
33.74999,36.26999,36
33.67001,36.35001,36
33.58999,36.47,36
33.68999,36.32999,36
33.91,35.97,36
33.13,36.92999,36
33.13,36.92999,36
33.92999,35.81,36
33.67001,36.35001,36
33.80999,36.17001,36
33.74999,36.26999,36
33.63,36.39001,36
33.51,36.54999,35.8
33.55001,36.48999,35.8
33.33001,36.73001,35.8
33.45,36.60999,35.8
33.23,36.85001,35.8
33.35,36.69,35.8
32.99001,37.07001,36
33.02999,37.03,36
33.83001,36.13,36
33.86999,36.09,36
33.41,36.64999,36
33.41,36.64999,36
33.51,36.54999,36
33.45,36.57001,36
33.41,36.64999,36
33.51,36.54999,36
33.29,36.79001,36
33.24999,36.82999,36
33.29,36.79001,35.9
33.17001,36.87,35.9
33.05001,37.01001,35.9
33.02999,37.03,35.9
33.83001,36.13,35.9
33.99001,36.23001,35.9
33.83001,36.13,36
33.74999,36.25,36
33.74999,36.23001,36
33.23,36.85001,36
33.91,35.91,36
33.45,36.57001,36
33.79,36.23001,35.7
33.85,36.13,35.7
33.68999,36.32999,35.7
33.55001,36.48999,35.7
33.61001,36.41,35.7
33.49001,36.54999,35.7
33.42999,36.63,35.8
33.49001,36.57001,35.8
33.29,36.79001,35.8
33.11001,36.95001,35.8
33.11001,36.95001,35.8
33.67001,36.32999,35.8
33.13,36.92999,36
33.13,36.92999,36
33.17001,36.87,36
33.85,36.10999,36
33.05001,37.01001,36
33.91,35.91,36
33.99001,36.23001,36
33.95,35.64999,36
33.95,35.64999,36
33.95,35.60999,36
33.74999,36.25,36
33.95,35.60999,36
33.89001,36.03,35.9
33.80999,36.17001,35.9
33.74999,36.25,35.9
33.77001,36.23001,35.9
33.63,36.39001,35.9
33.63,36.39001,35.9
33.64999,36.35001,36.1
33.46999,36.57001,36.1
33.63,36.39001,36.1
33.33001,36.73001,36.1
33.77001,36.23001,36.1
33.61001,36.39001,36.1
33.91,35.91,36
33.77001,36.23001,36
33.46999,36.54999,36
33.96999,36.37,36
33.30999,36.73001,36
33.46999,36.54999,36
33.67001,36.35001,36
33.61001,36.41,36
33.61001,36.41,36
33.68999,36.32999,36
33.67001,36.35001,36
32.39001,37.26999,36
33.58999,36.47,36
33.42999,36.63,36
33.29,36.79001,36
33.58999,36.47,36
33.85,36.10999,36
33.83001,36.10999,36
33.68999,36.32999,36.2
33.92999,35.81,36.2
33.83001,36.10999,36.2
33.64999,36.35001,36.2
33.79,36.23001,36.2
33.83001,36.10999,36.2
33.68999,36.32999,36.1
33.70998,36.31,36.1
33.42999,36.63,36.1
33.64999,36.35001,36.1
33.55001,36.48999,36.1
33.58999,36.42999,36.1
33.74999,36.25,36
33.79,36.20999,36
33.64999,36.35001,36
33.45,36.60999,36
33.42999,36.63,36
33.30999,36.76999,36
33.42999,36.63,36
33.30999,36.76999,36
33.18999,36.87,36
33.05001,36.98999,36
33.30999,36.76999,36
33.14999,36.87,36
33.14999,36.87,35.9
33.02999,37.03,35.9
33.42999,36.63,35.9
33.14999,36.87,35.9
33.51,36.54999,35.9
33.24999,36.82999,35.9
33.46999,36.54999,36.1
33.39001,36.64999,36.1
33.51,36.54999,36.1
33.39001,36.64999,36.1
33.45,36.63,36.1
33.29,36.79001,36.1
33.30999,36.75,36.2
33.51,36.53,36.2
33.35,36.69,36.2
33.30999,36.73001,36.2
33.29,36.76999,36.2
33.23,36.82999,36.2
33.95,35.60999,36
33.18999,36.85001,36
33.18999,36.85001,36
33.42999,36.63,36
33.29,36.76999,36
33.11001,36.95001,36
33.23,36.82999,36
33.29,36.76999,36
33.24999,36.82999,36
33.02999,37.01001,36
33.01,37.01001,36
33.05001,36.98999,36
33.99001,36.23001,35.8
33.14999,36.87,35.8
33.14999,36.91,35.8
33.96999,36.35001,35.8
33.18999,36.85001,35.8
33.18999,36.85001,35.8
33.96999,36.31,35.9
33.14999,36.91,35.9
33.08999,36.95001,35.9
33.08999,36.95001,35.9
33.99001,36.23001,35.9
33.91,35.91,35.9
33.08999,36.95001,35.9
33.79,36.20999,35.9
33.07,36.95001,35.9
33.96999,36.29001,35.9
33.96999,36.29001,35.9
33.05001,36.98999,35.9
33.89001,36.03,36.1
33.83001,36.10999,36.1
33.96999,36.25,36.1
33.58999,36.42999,36.1
33.05001,36.98999,36.1
33.70998,36.31,36.1
33.68999,36.31,36
33.85,36.09,36
33.89001,36.03,36
33.85,36.09,36
33.95,35.59,36
